feature,family,dtype,missing_count,missing_rate,unique_values
isbn,Original,string,2035,0.407,2966
text_reviews_count,Original,int64,0,0.0,248
country_code,Original,str,0,0.0,1
language_code,Original,str,2285,0.457,58
asin,Original,string,4008,0.8016,993
is_ebook,Original,boolean,0,0.0,2
average_rating,Original,float64,0,0.0,248
kindle_asin,Original,string,2853,0.5706,2146
description,Original,str,878,0.1756,4118
format,Original,str,1361,0.2722,42
link,Original,str,0,0.0,5000
publisher,Original,str,1365,0.273,2347
num_pages,Original,float64,1619,0.3238,622
publication_day,Original,float64,2107,0.4214,32
isbn13,Original,string,1646,0.3292,3355
publication_month,Original,float64,1822,0.3644,13
edition_information,Original,str,4552,0.9104,254
publication_year,Original,float64,1268,0.2536,92
url,Original,str,0,0.0,5000
image_url,Original,str,0,0.0,2931
book_id,Original,string,0,0.0,5000
ratings_count,Original,int64,0,0.0,708
work_id,Original,string,0,0.0,4982
title,Original,str,0,0.0,4989
title_without_series,Original,str,0,0.0,4989
has_description,Original,bool,0,0.0,2
description_length_chars,Original,int64,0,0.0,1619
has_page_count,Original,bool,0,0.0,2
page_count_zero,Original,bool,0,0.0,2
page_count_nonpositive,Original,bool,0,0.0,2
publication_year_plausible,Original,bool,0,0.0,2
author_count,Original,int64,0,0.0,21
series_count,Original,int64,0,0.0,5
popular_shelf_count,Original,int64,0,0.0,101
similar_book_count,Original,int64,0,0.0,19
num_pages_clean,Original,float64,1635,0.327,621
edition_age,Original,float64,1280,0.256,84
log1p_ratings_count,Log,float64,0,0.0,708
log1p_text_reviews_count,Log,float64,0,0.0,248
log1p_num_pages_clean,Log,float64,1635,0.327,621
log1p_description_length_chars,Log,float64,0,0.0,1619
edition_age_x_log_ratings,Interaction,float64,1280,0.256,1882
description_length_x_pages,Interaction,float64,1635,0.327,2956
popular_shelf_at_cap,Original,int64,0,0.0,2
similar_book_at_cap,Original,int64,0,0.0,2
relationship_richness,Composite,float64,0,0.0,695
metadata_completeness_score,Composite,float64,0,0.0,6
popularity_index,Composite,float64,0,0.0,1666
metadata_completeness_count,Composite,int64,0,0.0,6
publisher_frequency,Frequency,int64,0,0.0,22
publisher_frequency_ratio,Frequency,double[pyarrow],0,0.0,22
language_code_frequency,Frequency,int64,0,0.0,29
language_code_frequency_ratio,Frequency,double[pyarrow],0,0.0,29
format_frequency,Frequency,int64,0,0.0,16
format_frequency_ratio,Frequency,double[pyarrow],0,0.0,16
edition_age^2,Polynomial,float64,0,0.0,83
edition_age num_pages_clean,Polynomial,float64,0,0.0,1488
edition_age description_length_chars,Polynomial,float64,0,0.0,2619
num_pages_clean^2,Polynomial,float64,0,0.0,621
num_pages_clean description_length_chars,Polynomial,float64,0,0.0,2955
description_length_chars^2,Polynomial,float64,0,0.0,1619
