feature,family,dtype,missing_count,missing_rate,unique_values,importance_mean,importance_std,recommendation
language_code_frequency,Frequency,int64,0,0.0,29,0.0014519387053227473,0.001582294859684748,CONSIDER
edition_age^2,Polynomial,float64,0,0.0,83,0.001238499159282519,0.0011432340124566934,CONSIDER
language_code_frequency_ratio,Frequency,double[pyarrow],0,0.0,29,0.0012248517242003543,0.0015000903536844786,CONSIDER
metadata_completeness_count,Composite,int64,0,0.0,6,0.001022343273615034,0.0009199076904831539,CONSIDER
edition_age_x_log_ratings,Interaction,float64,1280,0.256,1882,0.0007374802265942449,0.0014821284585869534,CONSIDER
description_length_x_pages,Interaction,float64,1635,0.327,2956,0.00028262134946371864,0.0012165910803201617,CONSIDER
log1p_num_pages_clean,Log,float64,1635,0.327,621,0.00023922984497478094,0.0007655891683252961,CONSIDER
is_ebook,Original,boolean,0,0.0,2,0.00011186983797122352,0.0006415604227482615,CONSIDER
has_description,Original,bool,0,0.0,2,4.438629669348826e-05,8.642234557378855e-05,CONSIDER
has_page_count,Original,bool,0,0.0,2,2.675954780303469e-05,6.317722186954268e-05,CONSIDER
similar_book_count,Original,int64,0,0.0,19,1.433793666849037e-05,0.0005158678046048055,CONSIDER
page_count_nonpositive,Original,bool,0,0.0,2,2.2926499444464453e-07,2.0214143849000635e-08,CONSIDER
publication_year_plausible,Original,bool,0,0.0,2,5.952761245042737e-09,2.5947484625755863e-08,CONSIDER
isbn,Original,string,2035,0.407,2966,0.0,0.0,CONSIDER
language_code,Original,str,2285,0.457,58,0.0,0.0,CONSIDER
asin,Original,string,4008,0.8016,993,0.0,0.0,CONSIDER
kindle_asin,Original,string,2853,0.5706,2146,0.0,0.0,CONSIDER
description,Original,str,878,0.1756,4118,0.0,0.0,CONSIDER
format,Original,str,1361,0.2722,42,0.0,0.0,CONSIDER
link,Original,str,0,0.0,5000,0.0,0.0,CONSIDER
publisher,Original,str,1365,0.273,2347,0.0,0.0,CONSIDER
isbn13,Original,string,1646,0.3292,3355,0.0,0.0,CONSIDER
edition_information,Original,str,4552,0.9104,254,0.0,0.0,CONSIDER
url,Original,str,0,0.0,5000,0.0,0.0,CONSIDER
image_url,Original,str,0,0.0,2931,0.0,0.0,CONSIDER
book_id,Original,string,0,0.0,5000,0.0,0.0,CONSIDER
work_id,Original,string,0,0.0,4982,0.0,0.0,CONSIDER
title,Original,str,0,0.0,4989,0.0,0.0,CONSIDER
title_without_series,Original,str,0,0.0,4989,0.0,0.0,CONSIDER
page_count_zero,Original,bool,0,0.0,2,-3.3499920564783456e-07,1.460227683610781e-06,CONSIDER
similar_book_at_cap,Original,int64,0,0.0,2,-5.3818717126530304e-05,2.7809173893303634e-05,CONSIDER
popular_shelf_at_cap,Original,int64,0,0.0,2,-8.164040595784461e-05,0.00013604735989303292,CONSIDER
publication_year,Original,float64,1268,0.2536,92,-0.00010088844858207047,0.0007036481105214601,CONSIDER
num_pages,Original,float64,1619,0.3238,622,-0.0002480960101023999,0.0008091142400261437,CONSIDER
description_length_chars,Original,int64,0,0.0,1619,-0.0003992491834039491,0.0014104683313672754,CONSIDER
edition_age,Original,float64,1280,0.256,84,-0.00045704876017558236,0.0006376773751629391,CONSIDER
author_count,Original,int64,0,0.0,21,-0.0005531006554711059,0.00046789327529597584,CONSIDER
num_pages_clean,Original,float64,1635,0.327,621,-0.0010203988891559768,0.0007065919786357622,CONSIDER
publication_month,Original,float64,1822,0.3644,13,-0.0017928708116209334,0.0012826487675933426,CONSIDER
ratings_count,Original,int64,0,0.0,708,-0.0019627459419456427,0.00207351797072137,CONSIDER
country_code,Original,str,0,0.0,1,0.0,0.0,DROP
popular_shelf_count,Original,int64,0,0.0,101,0.01501826593273865,0.008336515033119067,KEEP
series_count,Original,int64,0,0.0,5,0.004920309290112568,0.0013059127888176503,KEEP
log1p_text_reviews_count,Log,float64,0,0.0,248,0.002320948527592709,0.000876398603355309,KEEP
publication_day,Original,float64,2107,0.4214,32,0.0022912423754347044,0.0008086355755650503,KEEP
text_reviews_count,Original,int64,0,0.0,248,0.0021940727852085007,0.0009496924138586891,KEEP
publisher_frequency_ratio,Frequency,double[pyarrow],0,0.0,22,-6.564885074700211e-06,0.0005605038254102744,REVIEW
metadata_completeness_score,Composite,float64,0,0.0,6,-9.589941088176679e-05,0.0008115335426882554,REVIEW
popularity_index,Composite,float64,0,0.0,1666,-0.00023476564568848391,0.0024591061452620805,REVIEW
