field,dtype,rows,missing_count,missing_pct,unique_count,unique_pct
edition_information,str,5000,4552,0.9104,253,0.0506
asin,string,5000,4008,0.8016,992,0.1984
kindle_asin,string,5000,2853,0.5706,2145,0.429
language_code,str,5000,2285,0.457,57,0.0114
publication_day,float64,5000,2107,0.4214,31,0.0062
isbn,string,5000,2035,0.407,2965,0.593
publication_month,float64,5000,1822,0.3644,12,0.0024
isbn13,string,5000,1646,0.3292,3354,0.6708
num_pages,float64,5000,1619,0.3238,621,0.1242
publisher,str,5000,1365,0.273,2346,0.4692
format,str,5000,1361,0.2722,41,0.0082
publication_year,float64,5000,1268,0.2536,91,0.0182
description,str,5000,878,0.1756,4117,0.8234
link,str,5000,0,0.0,5000,1.0
url,str,5000,0,0.0,5000,1.0
book_id,string,5000,0,0.0,5000,1.0
title,str,5000,0,0.0,4989,0.9978
title_without_series,str,5000,0,0.0,4989,0.9978
work_id,string,5000,0,0.0,4982,0.9964
authors,object,5000,0,0.0,4822,0.9644
popular_shelves,object,5000,0,0.0,4788,0.9576
image_url,str,5000,0,0.0,2931,0.5862
similar_books,object,5000,0,0.0,2245,0.449
description_length_chars,int64,5000,0,0.0,1619,0.3238
series,object,5000,0,0.0,1560,0.312
ratings_count,int64,5000,0,0.0,708,0.1416
text_reviews_count,int64,5000,0,0.0,248,0.0496
average_rating,float64,5000,0,0.0,248,0.0496
popular_shelf_count,int64,5000,0,0.0,101,0.0202
author_count,int64,5000,0,0.0,21,0.0042
similar_book_count,int64,5000,0,0.0,19,0.0038
series_count,int64,5000,0,0.0,5,0.001
is_ebook,boolean,5000,0,0.0,2,0.0004
has_description,bool,5000,0,0.0,2,0.0004
has_page_count,bool,5000,0,0.0,2,0.0004
page_count_zero,bool,5000,0,0.0,2,0.0004
page_count_nonpositive,bool,5000,0,0.0,2,0.0004
publication_year_plausible,bool,5000,0,0.0,2,0.0004
country_code,str,5000,0,0.0,1,0.0002
