representation,model,cv_macro_f1_mean,cv_macro_f1_std,validation_macro_f1,validation_micro_f1,validation_macro_average_precision,best_parameters,cv_micro_f1_mean
Word + Character TF-IDF,Linear SVM,0.580333553971632,0.016334098143474016,0.5625950920602745,0.6725978647686833,0.6351144985879874,"{""classifier__estimator__C"": 0.05, ""classifier__estimator__class_weight"": ""balanced""}",0.6802470194766926
Combined,Logistic Regression,0.5776359533896521,0.02218860242706474,0.5610869829717446,0.6872952311612668,0.6226472812717042,"{""classifier__estimator__C"": 10.0, ""classifier__estimator__class_weight"": ""balanced""}",0.6845364407304914
LSA,Logistic Regression,0.5429256975907395,0.010109258294030903,0.5595584109088751,0.6305911792305287,0.5878534115699783,"{""classifier__estimator__C"": 0.1, ""classifier__estimator__class_weight"": ""balanced""}",0.6212598473667981
LSA,Linear SVM,0.5384587243865705,0.011171310880374468,0.5590565282085438,0.6313465783664459,0.5844639439367382,"{""classifier__estimator__C"": 1.0, ""classifier__estimator__class_weight"": ""balanced""}",0.6212228742152794
Combined,Linear SVM,0.5689319158958552,0.026084419564554692,0.5585003860267406,0.6850952558834517,0.6243577464633999,"{""classifier__estimator__C"": 1.0, ""classifier__estimator__class_weight"": ""balanced""}",0.6827071532476318
Word + Character TF-IDF,Logistic Regression,0.5777824561416558,0.012234153147404682,0.5578021060249008,0.6715275246080933,0.6398777142006751,"{""classifier__estimator__C"": 1.0, ""classifier__estimator__class_weight"": ""balanced""}",0.6822186102215586
Word TF-IDF,Linear SVM,0.5364490801607614,0.019190948368967873,0.5263601660925035,0.6587558432218626,0.600512173678241,"{""classifier__estimator__C"": 0.1, ""classifier__estimator__class_weight"": ""balanced""}",0.6564417892092115
Word TF-IDF,Logistic Regression,0.5378477014416457,0.018616412950198665,0.5252141095510132,0.6601661249548574,0.6054652100285838,"{""classifier__estimator__C"": 1.0, ""classifier__estimator__class_weight"": ""balanced""}",0.6570823301812613
Metadata,Linear SVM,0.4733998358194709,0.0077860511396043,0.47068431352428847,0.5254193548387097,0.4498287243798432,"{""classifier__estimator__C"": 1.0, ""classifier__estimator__class_weight"": ""balanced""}",0.5243694588401266
Metadata,Logistic Regression,0.4732410870581454,0.009398578911969206,0.47066268885531326,0.527027027027027,0.4494620274456983,"{""classifier__estimator__C"": 0.1, ""classifier__estimator__class_weight"": ""balanced""}",0.5253186223131867
Lexical,Logistic Regression,0.41370586590896874,0.008945379703564895,0.42672148792187004,0.4671154842050751,0.370300050459566,"{""classifier__estimator__C"": 0.1, ""classifier__estimator__class_weight"": ""balanced""}",0.45727427562181616
Lexical,Linear SVM,0.4100070837741767,0.007949785270304469,0.42357070525387963,0.46459948320413436,0.36936233791408674,"{""classifier__estimator__C"": 0.1, ""classifier__estimator__class_weight"": ""balanced""}",0.4537806573598795
Naive prevalence,Most-common label decision,,,0.08041002277904327,0.3648578811369509,,"{""prevalence_threshold"": 0.5}",
