genre,support,precision,recall,f1,average_precision
fiction,347,0.8010610079575596,0.8703170028818443,0.8342541436464088,0.8518367794367124
non-fiction,155,0.7931034482758621,0.7419354838709677,0.7666666666666667,0.8049986076315101
romance,177,0.6615384615384615,0.7288135593220338,0.6935483870967742,0.794619874385668
"fantasy, paranormal",150,0.7050359712230215,0.6533333333333333,0.6782006920415224,0.7244609287450418
"history, historical fiction, biography",198,0.6367924528301887,0.6818181818181818,0.6585365853658537,0.7430680769816171
"mystery, thriller, crime",148,0.58125,0.6283783783783784,0.6038961038961039,0.7037897033105214
young-adult,106,0.45161290322580644,0.5283018867924528,0.48695652173913045,0.536110954618064
children,66,0.5510204081632653,0.4090909090909091,0.46956521739130436,0.5298265601115323
"comics, graphic",49,0.42857142857142855,0.1836734693877551,0.2571428571428571,0.33588767909365225
poetry,30,0.38461538461538464,0.16666666666666666,0.23255813953488372,0.3946649375918188
