book_id,work_id,title,language_code_clean,language_group,text_word_count,clean_description,true_genres,predicted_genres,missed_genres,extra_genres,label_error_count,true_label_count,predicted_label_count,description_length_band,label_cardinality_band
19453737,27541242,"Dog Eat Dog (The Liza Radley, Housewife Detective Chronicles, #2)",eng,English,62.0,"Book Two of the Eye Spy, Chronicles Of Liza Radley Housewife Detective, series brings back the antics of Liza & Jack who are knee deep in dognappers and heiresses at their newly opened Crimes Of The Heart Detective Agency. In between their investigations the will they or won't they drama of their complicated relationship is still front and center...and in the middle.","romance | mystery, thriller, crime","fiction | romance | mystery, thriller, crime | comics, graphic",,"fiction | comics, graphic",2,2,4,20–75,2
13486783,745446,Re Giovanni,ita,Non-English,106.0,"Testo inglese a fronte Singolarmente teso e asciutto nella compatta brevita della struttura, nella scelta di un linguaggio ""quotidiano"" di grande immediatezza, il dramma sembra proiettare sull'intera vicenda le tortuose incertezze della figura del re, in un'atmosfera inquieta di incompletezza, di intenzioni contraddette, di azioni che non sanno mai divenire pienamente tali, di una realta che inesorabilmente muta se stessa, a cui non sfugge a tratti lo stesso Bastardo di Faulconbridge, antesignano dell'immagine dell'eroe trionfante, Enrico V, sorta di metafora della ""virtus"" della nazione inglese. Un'opera che, forse piu delle altre storie inglesi, esprime il dramma collettivo della storia in termini di tragedie individuali dei personaggi.","fiction | history, historical fiction, biography | poetry","fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | young-adult | comics, graphic",poetry,"fantasy, paranormal | mystery, thriller, crime | young-adult | comics, graphic",5,3,6,76–150,3
1710031,2674403,The Winter Of Our Discotheque,unknown,Unknown,210.0,"Before his eighteenth summer, Tony Alexamenos was content to spend his mornings riding the waves, his afternoons pumping gas, and his nights secretly lusting after bronzed surfer boys. But all that changes when a gleaming Caddy convertible pulls into the gas station.Obscenely wealthy Dallas Eden can't get over the luscious boy in the grimy Florida service station. He sets out to win Tony's friendship; only then can he transform this young Greek god into a protege worthy of Dallas's ""harem."" First, Dallas makes Tony the assistant gardener at his Florida estate. Then, he intends to send him to college to study drama. But Dallas's plan goes awry when Tony falls under the spell of Professor Connecticut Jones, who, though deeply closeted, is far from immune to Tony's charms. Soon, Tony is following Connecticut to New York City, where he's transformed from wide-eyed tourist to half-hearted hustler to Broadway sensation -- and eventually, to a world-famous supermodel. Along the way, there's plenty of sex, drugs, booze. . .and always the benevolent Dallas Eden waiting in the wings. But if Tony has learned anything, it's that nobody is who he appears to be -- and that nothing lasts forever. Nothing, that is, except love, the one elusive thing he yearns for.",fiction | romance,"fiction | history, historical fiction, biography | romance | mystery, thriller, crime",,"history, historical fiction, biography | mystery, thriller, crime",2,2,4,151–250,2
11279216,2495542,"Tanečník (Lincoln Rhyme, #2)",cze,Non-English,105.0,"Genialni kriminalista Lincoln Rhyme a mlada policistka Amelie Sachsova, kteri se ctenarum poprve predstavili v bestselleru Sberatel kosti, resi dalsi zapeklity pripad: behem petactyriceti hodin museji vypatrat profesionalniho vraha, prezdivaneho Tanecnik. Tanecnik ma v teto lhute zlikvidovat tri nepohodlne svedky v pripadu vlivneho obchodnika se zbranemi a jiz od prvniho okamziku nenechava nikoho na pochybach, ze si duvtipem a inteligenci nezada s Rhymem. Mezi obema muzi se na dalku rozpouta nelitostna psychologicka valka, plna zvratu a uskoku, ktera se neobejde bez tezkych ztrat na zivotech. Nervy drasajici pribeh dava nahlednout do zakulisi americke policejni praxe a zaroven je brilantni sondou do dusevniho sveta chladnokrevneho zabijaka.","fiction | romance | mystery, thriller, crime","fiction | history, historical fiction, biography | fantasy, paranormal","romance | mystery, thriller, crime","history, historical fiction, biography | fantasy, paranormal",4,3,3,76–150,3
584375,571228,"Melchior's Fire (Three Kings, #2)",unknown,Unknown,44.0,"They call it the worlds of the Three Kings, a legendary star system laden with riches beyond imagining. Now, one determined band of seekers desperately in debt are determined to find the Three Kings -- if the galactic underworld's repo men don't get them first!","fiction | fantasy, paranormal","fiction | fantasy, paranormal",,,0,2,2,20–75,2
2246674,2252549,"The Keeper (Keeper, #1)",unknown,Unknown,50.0,"Susan Marley is beautiful, disturbed, and living in squalor. She wanders around the town, mute and accusing, an object of lust, fear and derision. When she dies, betrayed by life one final petty time, a hail of destruction is unleashed on the town that is more terrifying than any dream.","fiction | fantasy, paranormal | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | fantasy, paranormal","mystery, thriller, crime","history, historical fiction, biography | romance",3,3,4,20–75,3
24612954,43167918,"Legacy of Kings (Blood of Gods and Royals, #1)",eng,English,185.0,"Imagine a time when the gods turn a blind eye to the agony of men, when the last of the hellions roam the plains and evil stirs beyond the edges of the map. A time when cities burn, and in their ashes, empires rise. Alexander, Macedonia's sixteen-year-old heir, is on the brink of discovering his fated role in conquering the known world but finds himself drawn to newcomer Katerina, who must navigate the dark secrets of court life while hiding her own mission: kill the Queen. But Kat's first love, Jacob, will go to unthinkable lengths to win her, even if it means competing for her heart with Hephaestion, a murderer sheltered by the prince. And far across the sea, Zofia, a Persian princess and Alexander's unmet fiancee, wants to alter her destiny by seeking the famed and deadly Spirit Eaters. Weaving fantasy with the salacious and fascinating details of real history, New York Times bestselling author Eleanor Herman reimagines the greatest emperor the world has ever known: Alexander the Great, in the first book of the Blood of Gods and Royals series.","fiction | history, historical fiction, biography | romance | fantasy, paranormal | young-adult","fiction | history, historical fiction, biography | romance | fantasy, paranormal",young-adult,,1,5,4,151–250,4+
1624867,1618887,Modus Operandi: A Writer's Guide to How Criminals Work,unknown,Unknown,37.0,"Detectives Corvasce and Paglino provide writers with the facts they need to give thier mystery and detective novels necessary grit and authenticity. Writers will learn how criminals carry out murder, arson, smuggling, armed robbery, safecracking, and more.","non-fiction | fantasy, paranormal | mystery, thriller, crime","fiction | mystery, thriller, crime","non-fiction | fantasy, paranormal",fiction,3,3,2,20–75,3
18806194,26737192,"오렌지 마말레이드 2 (Orange Marmalade, #2)",kor,Non-English,21.0,09 geureol su isseulgga 10 gyeonggye daesang 1ho 11 gwangye 12 galrimgil 13 oecul 14 Just Let It Go 15 jinib 16 baempaieowayi inteobyu jagganoteu 2 gihoeg cogi weonhwa moeum,"fiction | romance | fantasy, paranormal | young-adult | comics, graphic","fiction | history, historical fiction, biography | comics, graphic","romance | fantasy, paranormal | young-adult","history, historical fiction, biography",4,5,3,20–75,4+
27840217,2102442,İntihar Kulübü,tur,Non-English,50.0,"Bu bir gizem, paranoya ve elbette, cinayet oykusu. Bir supheli gercekcilik denemesi. Smokinli canilerin, musfik katillerin, tuhaf beyefendilerin kumara cevirdigi hayata yakilan bir agit... Dr. Jekyll ve Bay Hyde'in yazari R. L. Stevenson'dan 19. yuzyil Londra'sinin karanlik sokaklarina bir davet. Eger hayattan gercekten biktiysaniz sizi bir bulusmaya goturmek istiyoruz. Kulube hosgeldiniz!","fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime","fiction | history, historical fiction, biography | mystery, thriller, crime","fantasy, paranormal",,1,4,3,20–75,4+
