slice_dimension,slice_value,books,mean_true_labels,macro_f1,micro_f1,subset_accuracy,hamming_loss
language_group,English,243,2.769547325102881,0.5834775101572651,0.6811881188118812,0.1111111111111111,0.19876543209876543
language_group,Non-English,96,2.8125,0.40724457030282435,0.5584415584415584,0.03125,0.2833333333333333
language_group,Unknown,187,2.5828877005347595,0.5656128636134596,0.6576819407008087,0.15508021390374332,0.20374331550802138
description_length_band,20–75,104,2.6634615384615383,0.49881447366900894,0.583732057416268,0.10576923076923077,0.25096153846153846
description_length_band,76–150,225,2.7688888888888887,0.5782949328473326,0.6652482269503546,0.10222222222222223,0.20977777777777779
description_length_band,151–250,147,2.7551020408163267,0.5134203946404259,0.6615720524017468,0.11564625850340136,0.2108843537414966
description_length_band,251+,50,2.42,0.5811152465607619,0.6804123711340206,0.16,0.186
label_cardinality_band,2,155,2.0,0.4828559325957865,0.6285714285714286,0.15483870967741936,0.1929032258064516
label_cardinality_band,3,143,3.0,0.5509370923356738,0.670926517571885,0.09090909090909091,0.21608391608391608
label_cardinality_band,4+,129,4.558139534883721,0.6162833338490483,0.728921124206709,0.13178294573643412,0.2317829457364341
label_cardinality_band,1,99,1.0,0.3803147398893075,0.42317380352644834,0.050505050505050504,0.2313131313131313
