genre,support,precision,recall,f1,average_precision,classical_f1,f1_change_vs_classical
fiction,347,0.70276008492569,0.9538904899135446,0.8092909535452323,0.846662249560258,0.8342541436464088,-0.024963190101176536
non-fiction,155,0.7394366197183099,0.6774193548387096,0.7070707070707071,0.8078566294996726,0.7666666666666667,-0.05959595959595965
romance,177,0.618421052631579,0.7966101694915254,0.6962962962962963,0.8002545058727941,0.6935483870967742,0.0027479091995220584
"history, historical fiction, biography",198,0.6244897959183674,0.7727272727272727,0.690744920993228,0.7265729623564753,0.6585365853658537,0.03220833562737435
"fantasy, paranormal",150,0.5410628019323671,0.7466666666666667,0.6274509803921569,0.6710932847996076,0.6782006920415224,-0.05074971164936559
"mystery, thriller, crime",148,0.4790697674418605,0.6959459459459459,0.5674931129476584,0.6218218892144904,0.6038961038961039,-0.03640299094844557
children,66,0.5272727272727272,0.4393939393939394,0.4793388429752066,0.4704649955478286,0.4695652173913043,0.009773625583902323
young-adult,106,0.3851851851851852,0.49056603773584906,0.4315352697095436,0.4131628741920258,0.4869565217391304,-0.05542125202958681
"comics, graphic",49,0.2072072072072072,0.46938775510204084,0.2875,0.31486529099131305,0.2571428571428571,0.03035714285714286
poetry,30,0.5555555555555556,0.16666666666666666,0.2564102564102564,0.329895475714692,0.2325581395348837,0.023852116875372698
