candidate,threshold_policy,language_group,books,macro_f1,micro_f1,weighted_f1,subset_accuracy,hamming_loss,macro_average_precision
Classical Word + Character TF-IDF,Default,English,7833,0.6708457127857076,0.7374083573552443,0.7388689218807445,0.22047746712626068,0.14769564662326057,0.7243019103959197
Classical Word + Character TF-IDF,Default,Non-English,3168,0.5154883488849301,0.6212935764562434,0.6179037886604887,0.10353535353535354,0.2156881313131313,0.5376197044219487
Classical Word + Character TF-IDF,Default,Unknown,7461,0.6593921078268298,0.7249591831445824,0.7274083169916724,0.25760621900549524,0.14224634767457445,0.7078577319518031
Classical Word + Character TF-IDF,Inner-OOF tuned,English,7833,0.6747640996161668,0.7466162636598666,0.7478950290171186,0.21779650197880762,0.14889569768926336,0.7243019103959197
Classical Word + Character TF-IDF,Inner-OOF tuned,Non-English,3168,0.5137220045427229,0.6282212445003142,0.6219604833386609,0.09122474747474747,0.2240530303030303,0.5376197044219487
Classical Word + Character TF-IDF,Inner-OOF tuned,Unknown,7461,0.6587817819461455,0.7270252208994381,0.7303345172063976,0.23790376625117277,0.14782200777375687,0.7078577319518031
MiniLM English,Default,English,7833,0.598547524050115,0.6759114926007652,0.700582850731617,0.1280480020426401,0.20437890974084003,0.6800989349553578
MiniLM English,Default,Non-English,3168,0.4750253075778632,0.5404059040590405,0.5797573080227498,0.03377525252525253,0.31452020202020203,0.4879504983100298
MiniLM English,Default,Unknown,7461,0.5929834521192509,0.6534319094560058,0.6828711770648489,0.14059777509717197,0.20356520573649645,0.6659633571970259
MiniLM English,Inner-OOF tuned,English,7833,0.6402153582479169,0.7251097151708115,0.7243078294973816,0.17911400485127027,0.16313034597216902,0.6800989349553578
MiniLM English,Inner-OOF tuned,Non-English,3168,0.4803088705560891,0.6047948854555141,0.5933233734629093,0.06818181818181818,0.2341540404040404,0.4879504983100298
MiniLM English,Inner-OOF tuned,Unknown,7461,0.6317587219180465,0.7048607694578373,0.7053880275433052,0.2049323147031229,0.1608095429567082,0.6659633571970259
Multilingual E5 Small,Default,English,7833,0.6209711930747241,0.6983363152158266,0.7200849368987271,0.14745308310991956,0.18727179879994893,0.7058442322873678
Multilingual E5 Small,Default,Non-English,3168,0.5643068472348907,0.6283323603813972,0.6597470142652289,0.08175505050505051,0.24116161616161616,0.6100133606369941
Multilingual E5 Small,Default,Unknown,7461,0.6145000861490093,0.6771328525380887,0.7045868494185444,0.15855783407049992,0.18661037394451147,0.6904283545395452
Multilingual E5 Small,Inner-OOF tuned,English,7833,0.6693311346979757,0.7450610651873616,0.7444213786162767,0.2110302566066641,0.1484361036639857,0.7058442322873678
Multilingual E5 Small,Inner-OOF tuned,Non-English,3168,0.5856812230857934,0.6835525247605131,0.6790777045210364,0.14362373737373738,0.18456439393939394,0.6100133606369941
Multilingual E5 Small,Inner-OOF tuned,Unknown,7461,0.6532062688547303,0.7249390902469043,0.7265081551323512,0.22329446454898808,0.14677657150516016,0.6904283545395452
