candidate,target_training_books,actual_training_books,macro_f1_mean,macro_f1_std,fit_seconds_mean
Classical Word + Character TF-IDF,2500,2500.0,0.5976403302652082,0.014809246555445273,5.7144177705049515
Classical Word + Character TF-IDF,5000,5000.0,0.6217042617782746,0.005557821218939327,9.142088270746171
Classical Word + Character TF-IDF,10000,10000.0,0.640379659802728,0.0016843465893332473,16.28726339666173
Classical Word + Character TF-IDF,14753,14753.0,0.6485024873786843,,22.831377083435655
Classical Word + Character TF-IDF,14763,14763.0,0.6435000169112316,,22.542332999408245
MiniLM English,2500,2500.0,0.5498900837337237,0.0036469537558757744,1.366671813186258
MiniLM English,5000,5000.0,0.5654947586725289,0.004091458287154688,3.4761570412665606
MiniLM English,10000,10000.0,0.5758983866462628,0.004352027852204804,8.165293313097209
MiniLM English,14753,14753.0,0.5862204984011395,,13.33765604160726
MiniLM English,14763,14763.0,0.5787730419876947,,13.435697125270963
Multilingual E5 Small,2500,2500.0,0.5818754130941173,0.0049144813344105575,1.0515314172953367
Multilingual E5 Small,5000,5000.0,0.6020905341666754,0.0037623561191839324,2.408971083816141
Multilingual E5 Small,10000,10000.0,0.6119037853080875,0.0008036747197954668,4.8564645000733435
Multilingual E5 Small,14753,14753.0,0.6177956794196859,,7.3695638328790665
Multilingual E5 Small,14763,14763.0,0.6184536671956031,,7.4657745426520705
