candidate,threshold_policy,outer_fold,outer_validation_books,inner_best_macro_f1,best_parameters,fit_and_calibration_seconds,macro_f1,micro_f1,weighted_f1,subset_accuracy,hamming_loss,macro_average_precision
Classical Word + Character TF-IDF,Default,1,4616,0.6394085336655962,"{""classifier__estimator__C"": 0.1}",72.82039983291179,0.6439871054774347,0.7102707823478329,0.7130234579207082,0.2086221837088388,0.15901213171577122,0.698800716493216
Classical Word + Character TF-IDF,Inner-OOF tuned,1,4616,0.6394085336655962,"{""classifier__estimator__C"": 0.1}",72.83709466643631,0.6442627277712141,0.7156547100488618,0.7180366497098275,0.20407279029462738,0.16262998266897746,0.698800716493216
Classical Word + Character TF-IDF,Default,2,4616,0.6385054062747416,"{""classifier__estimator__C"": 0.1}",69.40322645846754,0.6448560458078806,0.714371617558629,0.7160976001870678,0.2188041594454073,0.15435441941074524,0.6949435051860314
Classical Word + Character TF-IDF,Inner-OOF tuned,2,4616,0.6385054062747416,"{""classifier__estimator__C"": 0.1}",69.41937595885247,0.6462982518281403,0.7209633362828454,0.7228151020348837,0.21165511265164644,0.15712738301559792,0.6949435051860314
Classical Word + Character TF-IDF,Default,3,4615,0.6425785135037861,"{""classifier__estimator__C"": 0.1}",65.32412433344871,0.6473778233421905,0.7126865671641791,0.7142734584966446,0.2173347778981582,0.15683640303358612,0.696454949532541
Classical Word + Character TF-IDF,Inner-OOF tuned,3,4615,0.6425785135037861,"{""classifier__estimator__C"": 0.1}",65.34000391699374,0.649500427175472,0.7186318901320959,0.7201342876573208,0.20086673889490791,0.1629252437703142,0.696454949532541
Classical Word + Character TF-IDF,Default,4,4615,0.6364053331576699,"{""classifier__estimator__C"": 0.1}",65.59014766756445,0.6497883467202099,0.7100253807106599,0.7120240408982327,0.21690140845070421,0.15843986998916576,0.700821551494456
Classical Word + Character TF-IDF,Inner-OOF tuned,4,4615,0.6364053331576699,"{""classifier__estimator__C"": 0.1}",65.60580754186958,0.6537562146927688,0.7155678418601128,0.7178009497809662,0.20021668472372697,0.1627518959913326,0.700821551494456
MiniLM English,Default,1,4616,0.5756724886294462,"{""classifier__estimator__C"": 0.03}",34.22797608282417,0.5783416408407156,0.6402164111812444,0.6694377672142008,0.11546793760831889,0.22474003466204506,0.6533570902714231
MiniLM English,Inner-OOF tuned,1,4616,0.5756724886294462,"{""classifier__estimator__C"": 0.03}",34.24417904112488,0.6130456986935884,0.6955470785965178,0.6922256203097598,0.16724436741767765,0.1746317157712305,0.6533570902714231
MiniLM English,Default,2,4616,0.5748967796209977,"{""classifier__estimator__C"": 0.03}",34.74084625020623,0.5774096470243486,0.6432962169377218,0.6728650968406505,0.12694974003466206,0.21999566724436742,0.6533811516459056
MiniLM English,Inner-OOF tuned,2,4616,0.5748967796209977,"{""classifier__estimator__C"": 0.03}",34.755414499901235,0.6187162058114686,0.7002608399803425,0.7004357849759296,0.17590987868284227,0.17177209705372617,0.6533811516459056
MiniLM English,Default,3,4615,0.5751030904502991,"{""classifier__estimator__C"": 0.03}",35.09979479201138,0.5781659128444562,0.641607844500852,0.6704745194059237,0.11874322860238354,0.22333694474539545,0.6505797530080794
MiniLM English,Inner-OOF tuned,3,4615,0.5751030904502991,"{""classifier__estimator__C"": 0.03}",35.116756124421954,0.6139977652313815,0.6935996368588289,0.692195126281024,0.16793066088840736,0.17551462621885158,0.6505797530080794
MiniLM English,Default,4,4615,0.5732886736916902,"{""classifier__estimator__C"": 0.03}",36.25571249984205,0.5816159400530742,0.6419778771802074,0.670479567514964,0.1066088840736728,0.223726977248104,0.6622257963892971
MiniLM English,Inner-OOF tuned,4,4615,0.5732886736916902,"{""classifier__estimator__C"": 0.03}",36.27257787436247,0.6240364928775354,0.6946495855312735,0.6930650732610109,0.17096424702058505,0.17560130010834235,0.6622257963892971
Multilingual E5 Small,Default,1,4616,0.6105165496618422,"{""classifier__estimator__C"": 0.03}",23.18105904199183,0.6115453244150385,0.676559553040817,0.7019764769527032,0.1410311958405546,0.19690207972270363,0.6862639369553868
Multilingual E5 Small,Inner-OOF tuned,1,4616,0.6105165496618422,"{""classifier__estimator__C"": 0.03}",23.199731875211,0.6488493085716617,0.7217022577071475,0.7227084110365218,0.19540727902946273,0.1578206239168111,0.6862639369553868
Multilingual E5 Small,Default,2,4616,0.6099400094063346,"{""classifier__estimator__C"": 0.03}",22.35483133420348,0.6139046155736672,0.6790980672870437,0.7044274799440808,0.13886481802426343,0.1942374350086655,0.6861631498001943
