genre,support,precision,recall,f1,average_precision
fiction,12150,0.8114230240271822,0.8255144032921811,0.8184080616865897,0.8694467055401958
non-fiction,4972,0.7723592543777067,0.825020112630732,0.7978216473791695,0.8591150705007569
romance,6661,0.761178560852828,0.7718060351298603,0.7664554603056281,0.8561734424308689
"fantasy, paranormal",5372,0.6847864454641722,0.7222635889798957,0.703025910491031,0.7677186312213354
"history, historical fiction, biography",6294,0.6802793380901776,0.7119478868763902,0.695753435292291,0.7637762927412776
"mystery, thriller, crime",5105,0.6504399925107658,0.68050930460333,0.6651349798966112,0.7486155511350547
children,2432,0.5609931630082764,0.6410361842105263,0.5983496449817693,0.6581415682107749
young-adult,3694,0.4690939881456393,0.5998917162966974,0.5264908529341886,0.5251262791360116
poetry,729,0.5559265442404007,0.4567901234567901,0.5015060240963856,0.5292679784446681
"comics, graphic",1531,0.38153846153846155,0.40496407576747223,0.3929024081115336,0.39591718142345644
