book_id,work_id,title,language_group,text_word_count,true_genres,predicted_genres,label_error_count
10000034,1128931,"Princess in Training (The Princess Diaries, #6)",Unknown,210,fiction | romance | young-adult | children,young-adult | children,2
10000407,3337313,"Girls to the Rescue, #1",Unknown,235,"fiction | history, historical fiction, biography | fantasy, paranormal | young-adult | children | poetry","fiction | fantasy, paranormal | young-adult | children",2
10000597,2640005,Crooked Little Vein,Unknown,229,"fiction | fantasy, paranormal | mystery, thriller, crime | comics, graphic","fiction | mystery, thriller, crime | children | comics, graphic",2
10004839,14899968,Put Out The Light,English,87,"fiction | history, historical fiction, biography | young-adult | children","fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | young-adult | children",2
1000931,986422,Legacy of a Pack Rat,Unknown,34,"history, historical fiction, biography | non-fiction | poetry","history, historical fiction, biography | non-fiction | poetry",0
1001370,986861,Sisters: Coming of Age & Living Dangerously in the Wild Copper River Valley,English,41,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | romance | young-adult",4
10017186,14912533,"Cookies, Cookies & More Cookies!",Unknown,147,non-fiction,non-fiction | children,1
100202,96615,Come Juneteenth,Unknown,124,"fiction | history, historical fiction, biography | young-adult | children","fiction | history, historical fiction, biography | romance",3
10021157,2548771,Asia Tenggara Masa Hindu-Buddha,Non-English,183,"fiction | history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction | young-adult",2
10026303,759790,Hot Ice,Unknown,304,"fiction | romance | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | mystery, thriller, crime",1
10028153,893440,Napalm and Silly Putty,Unknown,196,"fiction | history, historical fiction, biography | non-fiction",fiction | non-fiction,1
1002916,988406,Modern Tribal Development: Paths to Self-Sufficiency and Cultural Integrity in Indian Country,Unknown,206,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
1003313,161178,Norstrilia,Unknown,52,"fiction | fantasy, paranormal","fiction | history, historical fiction, biography",2
1003547,19029087,Calamity Town,Unknown,147,"fiction | mystery, thriller, crime","fiction | romance | mystery, thriller, crime",1
1003891,990022,The Paradiso Files: Exposing an Unknown Serial Killer,Unknown,223,"non-fiction | mystery, thriller, crime","history, historical fiction, biography | non-fiction | mystery, thriller, crime",1
10042932,14938739,Running Black,English,111,"fiction | fantasy, paranormal | mystery, thriller, crime","fiction | mystery, thriller, crime",1
1004393,990519,Ohitika Woman,Unknown,51,"fiction | history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction | children | comics, graphic",2
10044225,14940060,君だけにフォーカス [Kimi Dake ni Focus],Non-English,45,romance,,1
1004573,2073907,"Plötzlich Prinzessin (Plötzlich Prinzessin, #1)",Non-English,37,"fiction | romance | fantasy, paranormal | young-adult | children",children,4
10047612,14943525,The Demise Of The Soccer Moms,English,99,"fiction | mystery, thriller, crime","fiction | romance | mystery, thriller, crime",1
10048498,6147987,Dope Thief,Unknown,207,"fiction | mystery, thriller, crime | comics, graphic","mystery, thriller, crime",2
1004858,990984,EcoArt!: Earth-Friendly Art and Craft Experiences for 3-To 9-Year-Olds,Unknown,43,fiction | young-adult | children,non-fiction | children,3
10051339,14947349,400 BC: The Story of the Ten Thousand: A Graphic Novel,English,144,"fiction | history, historical fiction, biography | children | comics, graphic","fantasy, paranormal",5
1005313,5334697,Demian,Unknown,62,"fiction | history, historical fiction, biography | young-adult",fiction | romance,3
10059500,14955692,Misi 8A,Non-English,224,"children | comics, graphic","fiction | non-fiction | young-adult | comics, graphic",4
10060596,14956817,Velveteen & Mandala,English,144,"fiction | comics, graphic","fiction | fantasy, paranormal | young-adult",3
10066545,14567945,Damned (Crusade #2),Unknown,121,"fiction | romance | fantasy, paranormal | young-adult","fiction | romance | fantasy, paranormal | mystery, thriller, crime | young-adult",1
10068596,838724,Studies in Hysteria,English,174,"history, historical fiction, biography | non-fiction | mystery, thriller, crime","history, historical fiction, biography | non-fiction | mystery, thriller, crime",0
1006885,993011,Barefoot Runner: The Life of Marathon Champion Abebe Bikila,Unknown,251,"history, historical fiction, biography | non-fiction","fiction | history, historical fiction, biography | non-fiction",1
10070871,10724587,Jack Kerouac and Allen Ginsberg: The Letters,English,119,"fiction | history, historical fiction, biography | non-fiction | poetry","fiction | history, historical fiction, biography | non-fiction",1
10073535,713383,Beati come rane su una foglia di ninfea,Non-English,103,"fiction | fantasy, paranormal","fiction | history, historical fiction, biography",2
10075702,14972313,Small Mechanics,English,146,poetry,poetry,0
10076002,1446416,La solitudine del cittadino globale,Non-English,66,non-fiction,"fiction | history, historical fiction, biography",3
1007963,994089,"The Lie (Dear Diary, #6)",English,40,children,"fiction | history, historical fiction, biography | children",2
10080167,104648,Delivered from Distraction: Getting the Most Out of Life with Attention Deficit Disorder,English,360,non-fiction,"history, historical fiction, biography | non-fiction",1
10080902,14977660,The Cat's Meow,English,81,"fiction | romance | fantasy, paranormal","romance | fantasy, paranormal | children",2
1008260,1819870,Chronicle of Western Fashion,Unknown,223,"history, historical fiction, biography | non-fiction","history, historical fiction, biography | non-fiction",0
10085251,561841,The Royal Mess,Unknown,121,"fiction | history, historical fiction, biography | romance | fantasy, paranormal","fiction | romance | fantasy, paranormal",1
10087566,906843,"Home Remedies from a Country Doctor: Oatmeal, Cucumbers, Ammonia, Lemon, Gin-Soaked Raisins: Timeless Solutions to More Than 200 Common Aches, Pains, and Illnesses",Unknown,107,non-fiction,non-fiction,0
10088402,420004,"Boardwalk Empire: The Birth, High Times and the Corruption of Atlantic City",English,123,"fiction | history, historical fiction, biography | non-fiction | mystery, thriller, crime","history, historical fiction, biography | non-fiction",2
10092540,714915,La bestia e la bella,Non-English,102,"fantasy, paranormal | children",fiction | young-adult,4
1009744,1084447,Third Girl,English,89,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | history, historical fiction, biography | mystery, thriller, crime",0
10100690,10370923,The Force Unleashed II: Star Wars Legends,English,174,"fiction | fantasy, paranormal | young-adult | comics, graphic","fiction | fantasy, paranormal | mystery, thriller, crime",3
10100777,14997904,"La cosa del pantano de Alan Moore Nº 01 de 03 (Swamp Thing Nº 20-34, Annual nº 02 USA)",Non-English,170,"comics, graphic","fiction | history, historical fiction, biography | fantasy, paranormal | mystery, thriller, crime | comics, graphic",4
10107887,1872693,Pollo alle prugne,Non-English,203,"fiction | history, historical fiction, biography | non-fiction | young-adult | comics, graphic","fiction | history, historical fiction, biography | non-fiction | comics, graphic",1
10108198,15005492,"The Beauty Detox Solution: Eat Your Way to Radiant Skin, Renewed Energy and the Body You've Always Wanted",Unknown,112,non-fiction,non-fiction | young-adult | children,2
10113167,6531221,Eternal Life: A New Vision,Unknown,187,"fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal | children","history, historical fiction, biography | non-fiction",3
10113707,15011228,"Read Well, Think Well: Build Your Child's Reading, Comprehension, and Critical Thinking Skills",Unknown,221,non-fiction | children,non-fiction | children,0
1011419,997543,Tidewater Tales,Unknown,63,"fiction | history, historical fiction, biography | mystery, thriller, crime","fiction | history, historical fiction, biography | fantasy, paranormal",2
10115566,1464457,Somewhere in Time,Unknown,134,"fiction | history, historical fiction, biography | romance | fantasy, paranormal | mystery, thriller, crime","fiction | history, historical fiction, biography | romance | fantasy, paranormal | comics, graphic",2
1011600,7341,The Modern Prince: What Leaders Need to Know Now,Unknown,169,non-fiction,"history, historical fiction, biography | non-fiction",1
10116465,3428728,Gülüşün ve Unutuşun Kitabı,Non-English,128,"fiction | history, historical fiction, biography | romance | non-fiction",fiction,3
1011988,1796454,"Reaper Man (Discworld, #11)",Unknown,64,"fiction | fantasy, paranormal | mystery, thriller, crime | comics, graphic","fiction | fantasy, paranormal | mystery, thriller, crime | children",2
10122723,2182100,Kisah-Kisah dari Negeri 1001 Malam,Non-English,59,"fiction | history, historical fiction, biography | non-fiction | fantasy, paranormal | young-adult | children | poetry","history, historical fiction, biography | non-fiction | young-adult | children",3
10126667,15024484,The Ultimate Guide to Homesteading: An Encyclopedia of Independent Living,Unknown,185,non-fiction,non-fiction,0
10126734,14161759,"Forever Mine (The Moreno Brothers, #1)",English,120,fiction | romance | young-adult,fiction | romance | young-adult,0
10126879,13592675,Deadpool: Wade Wilson's War,English,99,"fiction | comics, graphic","fiction | fantasy, paranormal | young-adult | comics, graphic",2
