outer_fold,classical_weight,inner_macro_f1,threshold_policy,calibration_gain
1,0.0,0.637434748078137,Tuned,0.09402241728716887
1,0.25,0.6596665579608133,Tuned,0.10361217547642232
1,0.5,0.6681635659487491,Tuned,0.10682797344485773
1,0.75,0.6577402488344184,Tuned,0.09900225862048007
1,1.0,0.6379023067224334,Tuned,0.09215475502021842
2,0.0,0.6373868841457597,Tuned,0.09373346316561904
2,0.25,0.6551201311804571,Tuned,0.0992976531248757
2,0.5,0.6595119662447816,Tuned,0.09861327990947255
2,0.75,0.64872547452282,Tuned,0.09234197820648415
2,1.0,0.6286888605725679,Tuned,0.08532656004414585
3,0.0,0.6425010354570262,Tuned,0.09703567812543756
3,0.25,0.6636914445283048,Tuned,0.10645264644853936
3,0.5,0.6688667655689582,Tuned,0.10630333283190385
3,0.75,0.6575637452190503,Tuned,0.09861319095335719
3,1.0,0.6354528320702706,Tuned,0.08987975240427337
