feature,importance_mean,importance_std
popular_shelf_count,0.01501826593273865,0.008336515033119067
series_count,0.004920309290112568,0.0013059127888176503
log1p_text_reviews_count,0.002320948527592709,0.000876398603355309
publication_day,0.0022912423754347044,0.0008086355755650503
text_reviews_count,0.0021940727852085007,0.0009496924138586891
language_code_frequency,0.0014519387053227473,0.001582294859684748
edition_age^2,0.001238499159282519,0.0011432340124566934
language_code_frequency_ratio,0.0012248517242003543,0.0015000903536844786
metadata_completeness_count,0.001022343273615034,0.0009199076904831539
edition_age_x_log_ratings,0.0007374802265942449,0.0014821284585869534
description_length_x_pages,0.00028262134946371864,0.0012165910803201617
log1p_num_pages_clean,0.00023922984497478094,0.0007655891683252961
is_ebook,0.00011186983797122352,0.0006415604227482615
has_description,4.438629669348826e-05,8.642234557378855e-05
has_page_count,2.675954780303469e-05,6.317722186954268e-05
similar_book_count,1.433793666849037e-05,0.0005158678046048055
page_count_nonpositive,2.2926499444464453e-07,2.0214143849000635e-08
publication_year_plausible,5.952761245042737e-09,2.5947484625755863e-08
page_count_zero,-3.3499920564783456e-07,1.460227683610781e-06
publisher_frequency_ratio,-6.564885074700211e-06,0.0005605038254102744
similar_book_at_cap,-5.3818717126530304e-05,2.7809173893303634e-05
popular_shelf_at_cap,-8.164040595784461e-05,0.00013604735989303292
metadata_completeness_score,-9.589941088176679e-05,0.0008115335426882554
publication_year,-0.00010088844858207047,0.0007036481105214601
popularity_index,-0.00023476564568848391,0.0024591061452620805
num_pages,-0.0002480960101023999,0.0008091142400261437
edition_age num_pages_clean,-0.0002481269067100389,0.0006907323282659281
publisher_frequency,-0.0002521315157015369,0.000458448322463006
format_frequency_ratio,-0.00031714641363507766,0.0006511065002196153
edition_age description_length_chars,-0.00035850968151423526,0.0008681138886899409
description_length_chars,-0.0003992491834039491,0.0014104683313672754
edition_age,-0.00045704876017558236,0.0006376773751629391
format_frequency,-0.000549621038180903,0.0006088400878247255
author_count,-0.0005531006554711059,0.00046789327529597584
num_pages_clean description_length_chars,-0.0006140742960218549,0.0010620506609874808
description_length_chars^2,-0.0007665323963043258,0.0015229136831701885
num_pages_clean,-0.0010203988891559768,0.0007065919786357622
log1p_description_length_chars,-0.0012576654263119712,0.001336706200759892
publication_month,-0.0017928708116209334,0.0012826487675933426
ratings_count,-0.0019627459419456427,0.00207351797072137
num_pages_clean^2,-0.0022136790523273444,0.0017234467648937764
log1p_ratings_count,-0.003698970133701074,0.0019049182282954151
relationship_richness,-0.003940699848006745,0.003604388318151679
